,Date,Symbol,Time,Open,High,Low,Close,Volume,Datetime
179,1/27/2021,FISV,4:00 PM,102.94,103.46,102.25,103.22,933914,1/27/2021:4:00 PM
180,1/28/2021,FISV,10:30 AM,104.36,105.55,104.315,104.45,1181038,1/28/2021:10:30 AM
181,1/28/2021,FISV,11:30 AM,104.48,105.43,103.9201,105.2208,476942,1/28/2021:11:30 AM
182,1/28/2021,FISV,12:30 PM,105.26,105.9,104.89,105.71,586883,1/28/2021:12:30 PM
183,1/28/2021,FISV,1:30 PM,105.72,105.84,105.22,105.41,376724,1/28/2021:1:30 PM
184,1/28/2021,FISV,2:30 PM,105.43,106.29,105.3,106.14,601785,1/28/2021:2:30 PM
185,1/28/2021,FISV,3:30 PM,106.1475,106.185,105.4,105.75,592523,1/28/2021:3:30 PM
186,1/28/2021,FISV,4:00 PM,105.72,105.885,105.1,105.28,785620,1/28/2021:4:00 PM
187,1/29/2021,FISV,10:30 AM,104.82,104.95,103.16,104.03,581395,1/29/2021:10:30 AM
188,1/29/2021,FISV,11:30 AM,104.07,104.35,103.44,103.52,276695,1/29/2021:11:30 AM
189,1/29/2021,FISV,12:30 PM,103.53,103.95,102.88,102.98,222272,1/29/2021:12:30 PM
190,1/29/2021,FISV,1:30 PM,102.95,103.13,102.31,103.06,526257,1/29/2021:1:30 PM
191,1/29/2021,FISV,2:30 PM,103.08,103.23,102.57,103.14,562990,1/29/2021:2:30 PM
192,1/29/2021,FISV,3:30 PM,103.12,103.66,102.8,103.36,329717,1/29/2021:3:30 PM
193,1/29/2021,FISV,4:00 PM,103.36,103.59,102.52,102.62,832740,1/29/2021:4:00 PM
194,2/1/2021,FISV,10:30 AM,103.862,105.83,103.0901,105.19,766966,2/1/2021:10:30 AM
195,2/1/2021,FISV,11:30 AM,105.21,106.09,105.103,105.98,518401,2/1/2021:11:30 AM
196,2/1/2021,FISV,12:30 PM,106.01,106.62,105.745,106.365,535661,2/1/2021:12:30 PM
197,2/1/2021,FISV,1:30 PM,106.34,107.04,106.29,106.93,319748,2/1/2021:1:30 PM
198,2/1/2021,FISV,2:30 PM,106.94,107.3,106.665,107.16,386314,2/1/2021:2:30 PM
199,2/1/2021,FISV,3:30 PM,107.16,107.55,106.865,106.885,379110,2/1/2021:3:30 PM
200,2/1/2021,FISV,4:00 PM,106.88,107.39,106.44,106.51,704986,2/1/2021:4:00 PM
201,2/2/2021,FISV,10:30 AM,107.93,110.42,107.24,109.79,846632,2/2/2021:10:30 AM
202,2/2/2021,FISV,11:30 AM,109.825,110.39,109.6614,110.18,333696,2/2/2021:11:30 AM
203,2/2/2021,FISV,12:30 PM,110.26,110.97,110.22,110.905,252041,2/2/2021:12:30 PM
204,2/2/2021,FISV,1:30 PM,110.92,111.1,110.19,110.21,231533,2/2/2021:1:30 PM
205,2/2/2021,FISV,2:30 PM,110.215,110.71,110.06,110.35,374608,2/2/2021:2:30 PM
206,2/2/2021,FISV,3:30 PM,110.36,110.89,110.21,110.42,462807,2/2/2021:3:30 PM
207,2/2/2021,FISV,4:00 PM,110.41,110.435,109.91,110.02,611665,2/2/2021:4:00 PM
208,2/3/2021,FISV,10:30 AM,110.12,110.76,109.55,110.02,535939,2/3/2021:10:30 AM
209,2/3/2021,FISV,11:30 AM,110.01,110.66,109.96,110.48,567822,2/3/2021:11:30 AM
210,2/3/2021,FISV,12:30 PM,110.53,110.75,110.36,110.59,410695,2/3/2021:12:30 PM
211,2/3/2021,FISV,1:30 PM,110.58,111.01,110.41,110.95,335345,2/3/2021:1:30 PM
212,2/3/2021,FISV,2:30 PM,110.93,111.1,110.82,111.09,245965,2/3/2021:2:30 PM
213,2/3/2021,FISV,3:30 PM,111.1,111.11,110.54,110.89,542980,2/3/2021:3:30 PM
214,2/3/2021,FISV,4:00 PM,110.9,111.04,110.17,110.2,774247,2/3/2021:4:00 PM
215,2/4/2021,FISV,10:30 AM,111.72,112.27,110.2,112.1,375310,2/4/2021:10:30 AM
216,2/4/2021,FISV,11:30 AM,112.05,112.99,111.955,112.4765,513736,2/4/2021:11:30 AM
217,2/4/2021,FISV,12:30 PM,112.46,113.04,112.43,112.9908,227721,2/4/2021:12:30 PM
218,2/4/2021,FISV,1:30 PM,112.985,113.08,112.56,112.85,214228,2/4/2021:1:30 PM
219,2/4/2021,FISV,2:30 PM,112.85,112.93,112.61,112.66,182048,2/4/2021:2:30 PM
220,2/4/2021,FISV,3:30 PM,112.68,112.79,111.89,111.93,168004,2/4/2021:3:30 PM
221,2/4/2021,FISV,4:00 PM,111.93,112.28,111.57,112.27,404865,2/4/2021:4:00 PM
222,2/5/2021,FISV,10:30 AM,112.7501,113.74,112.6,112.63,288513,2/5/2021:10:30 AM
223,2/5/2021,FISV,11:30 AM,112.61,112.92,112.05,112.365,226753,2/5/2021:11:30 AM
224,2/5/2021,FISV,12:30 PM,112.35,112.605,112.18,112.44,119556,2/5/2021:12:30 PM
225,2/5/2021,FISV,1:30 PM,112.45,112.7199,111.98,112.13,204092,2/5/2021:1:30 PM
226,2/5/2021,FISV,2:30 PM,112.12,112.4,112.075,112.34,125073,2/5/2021:2:30 PM
227,2/5/2021,FISV,3:30 PM,112.335,112.54,112.235,112.37,277925,2/5/2021:3:30 PM
228,2/5/2021,FISV,4:00 PM,112.36,112.6097,112.16,112.22,410133,2/5/2021:4:00 PM
229,2/8/2021,FISV,10:30 AM,113.42,114.37,113.01,113.54,504222,2/8/2021:10:30 AM
230,2/8/2021,FISV,11:30 AM,113.54,113.88,113.22,113.44,377626,2/8/2021:11:30 AM
231,2/8/2021,FISV,12:30 PM,113.45,113.56,113.02,113.02,212772,2/8/2021:12:30 PM
232,2/8/2021,FISV,1:30 PM,113.01,113.23,112.89,112.98,154786,2/8/2021:1:30 PM
233,2/8/2021,FISV,2:30 PM,112.98,113.04,112.5625,112.82,200853,2/8/2021:2:30 PM
234,2/8/2021,FISV,3:30 PM,112.796,113.1,112.61,112.98,152919,2/8/2021:3:30 PM
235,2/8/2021,FISV,4:00 PM,112.97,113.5,112.855,113.45,381282,2/8/2021:4:00 PM
236,2/9/2021,FISV,10:30 AM,112.65,113.58,111.22,112.985,677200,2/9/2021:10:30 AM
237,2/9/2021,FISV,11:30 AM,113.0,113.22,112.82,113.075,302519,2/9/2021:11:30 AM
238,2/9/2021,FISV,12:30 PM,113.075,113.33,112.96,113.26,196606,2/9/2021:12:30 PM
239,2/9/2021,FISV,1:30 PM,113.27,113.45,113.09,113.09,189016,2/9/2021:1:30 PM
240,2/9/2021,FISV,2:30 PM,113.11,113.55,112.985,113.335,223888,2/9/2021:2:30 PM
241,2/9/2021,FISV,3:30 PM,113.3201,113.67,113.31,113.57,254385,2/9/2021:3:30 PM
242,2/9/2021,FISV,4:00 PM,113.59,114.06,113.37,113.51,680264,2/9/2021:4:00 PM
243,2/10/2021,FISV,10:30 AM,113.95,114.35,111.81,111.99,1262750,2/10/2021:10:30 AM
244,2/10/2021,FISV,11:30 AM,112.0,112.16,110.17,110.98,862394,2/10/2021:11:30 AM
245,2/10/2021,FISV,12:30 PM,111.0,111.19,110.4107,110.67,420267,2/10/2021:12:30 PM
246,2/10/2021,FISV,1:30 PM,110.66,110.88,110.4,110.705,316348,2/10/2021:1:30 PM
247,2/10/2021,FISV,2:30 PM,110.7,110.98,110.05,110.54,412857,2/10/2021:2:30 PM
248,2/10/2021,FISV,3:30 PM,110.55,110.89,110.38,110.565,465734,2/10/2021:3:30 PM
249,2/10/2021,FISV,4:00 PM,110.565,110.66,108.59,109.42,1581188,2/10/2021:4:00 PM
250,2/11/2021,FISV,10:30 AM,110.69,110.69,108.43,108.465,781938,2/11/2021:10:30 AM
251,2/11/2021,FISV,11:30 AM,108.465,108.95,108.16,108.53,650497,2/11/2021:11:30 AM
252,2/11/2021,FISV,12:30 PM,108.515,108.83,108.06,108.51,507005,2/11/2021:12:30 PM
253,2/11/2021,FISV,1:30 PM,108.5,108.76,108.02,108.51,568646,2/11/2021:1:30 PM
254,2/11/2021,FISV,2:30 PM,108.499,108.545,107.8,108.42,539184,2/11/2021:2:30 PM
255,2/11/2021,FISV,3:30 PM,108.42,108.43,107.745,107.8,581912,2/11/2021:3:30 PM
256,2/11/2021,FISV,4:00 PM,107.8,108.55,107.66,108.5,1265617,2/11/2021:4:00 PM
257,2/12/2021,FISV,10:30 AM,108.79,109.87,108.19,109.87,314070,2/12/2021:10:30 AM
258,2/12/2021,FISV,11:30 AM,109.82,110.71,109.71,110.6301,505077,2/12/2021:11:30 AM
259,2/12/2021,FISV,12:30 PM,110.6658,110.67,109.77,109.86,226558,2/12/2021:12:30 PM
260,2/12/2021,FISV,1:30 PM,109.875,110.5,109.775,110.03,510200,2/12/2021:1:30 PM
261,2/12/2021,FISV,2:30 PM,110.01,110.12,109.66,109.78,199557,2/12/2021:2:30 PM
262,2/12/2021,FISV,3:30 PM,109.78,110.06,109.5,110.03,341116,2/12/2021:3:30 PM
263,2/12/2021,FISV,4:00 PM,110.015,110.1,109.94,110.005,530457,2/12/2021:4:00 PM
264,12/17/2020,GME,4:00 PM,14.86,14.98,14.78,14.83,1083430,12/17/2020:4:00 PM
265,12/18/2020,GME,10:30 AM,15.78,15.95,15.18,15.4299,3581828,12/18/2020:10:30 AM
266,12/18/2020,GME,11:30 AM,15.43,16.18,15.41,15.8745,2511712,12/18/2020:11:30 AM
267,12/18/2020,GME,12:30 PM,15.88,16.11,15.74,15.8326,979671,12/18/2020:12:30 PM
268,12/18/2020,GME,1:30 PM,15.8421,15.96,15.71,15.92,829536,12/18/2020:1:30 PM
269,12/18/2020,GME,2:30 PM,15.9,16.1321,15.88,16.07,1165377,12/18/2020:2:30 PM
270,12/18/2020,GME,3:30 PM,16.07,16.3,15.49,15.6003,1952751,12/18/2020:3:30 PM
271,12/18/2020,GME,4:00 PM,15.6,15.77,15.545,15.63,1413545,12/18/2020:4:00 PM
272,12/21/2020,GME,10:30 AM,15.81,16.348,15.5301,15.77,3263608,12/21/2020:10:30 AM
273,12/21/2020,GME,11:30 AM,15.7883,15.84,15.38,15.4622,879111,12/21/2020:11:30 AM
274,12/21/2020,GME,12:30 PM,15.4601,15.56,15.345,15.47,652480,12/21/2020:12:30 PM
275,12/21/2020,GME,1:30 PM,15.47,15.54,15.3525,15.39,574039,12/21/2020:1:30 PM
276,12/21/2020,GME,2:30 PM,15.4,15.4575,15.28,15.3801,532316,12/21/2020:2:30 PM
277,12/21/2020,GME,3:30 PM,15.38,15.435,15.33,15.415,621676,12/21/2020:3:30 PM
278,12/21/2020,GME,4:00 PM,15.42,15.765,15.34,15.5202,1780298,12/21/2020:4:00 PM
279,12/22/2020,GME,10:30 AM,16.22,19.42,16.15,18.835,6996802,12/22/2020:10:30 AM
280,12/22/2020,GME,11:30 AM,18.8065,19.74,18.53,19.0,5655404,12/22/2020:11:30 AM
281,12/22/2020,GME,12:30 PM,19.0,19.13,18.61,18.64,2515353,12/22/2020:12:30 PM
282,12/22/2020,GME,1:30 PM,18.65,19.84,18.645,19.7701,2863446,12/22/2020:1:30 PM
